名称,公司名字,工作地点,薪酬,工作经验,招聘人员,公司规模,技能要求,标签,描述,名称_链接,公司_链接
数据分析师,宝宝馋了,杭州·江干区·高沙商业街,12-20K,1-3年本科,荣先生会员负责人,电子商务B轮500-999人,"
                                                    SQL
                                                    数据分析师
                                                    电商运营
                                        ",SQL,带薪年假，员工内购，弹性打卡，节日福利，五险一金，搬家费,https://www.zhipin.com/job_detail/038b3bcb9f3055371nZ529y7E1RZ.html,https://www.zhipin.com/gongsi/c1c03b3146bc215d1nN53Ni6Eg~~.html
数据分析师,跟谁学-高途课堂,郑州·管城回族区·经开区,9-14K,经验不限本科,田女士招聘专家,在线教育已上市10000人以上,"
                                                    SQL
                                                    Excel
                                                    销售团队数据分析
                                                    提效
                                        ",SQL,五险一金，零食下午茶，内购折扣，员工旅游，入职大礼包，带薪年假，报班优惠，股票期权，定期体检，补充医疗保险，节日福利，交通补助，通讯补贴,https://www.zhipin.com/job_detail/fab250938894eea81nZ70ti8E1ZQ.html,https://www.zhipin.com/gongsi/6ca959f0281784ee0nd539S-.html
数据分析师,成都蚂蚁集团,成都·武侯区·高棚大道,4-5K,1-3年本科,严女士HRD,物流/仓储不需要融资1000-9999人,"
                                                    数据分析
                                                    数据挖掘
                                                    数据仓库
                                        ",数据分析,通讯补贴，加班补助，交通补助，包吃，节日福利，带薪年假，包住，补充医疗保险，餐补,https://www.zhipin.com/job_detail/4710f5bab137d73e1nR40tq9FFZU.html,https://www.zhipin.com/gongsi/f89b41ea75c4ceca1XF52N8~.html
数据分析师,长城汽车,北京·丰台区·广安门,12-16K·13薪,1-3年本科,郭先生招聘主管,汽车生产已上市10000人以上,"
                                                    数据分析
                                        ",数据分析,带薪年假，通讯补贴，年终奖，节日福利，免费班车，包吃，全勤奖，加班补助，定期体检，五险一金,https://www.zhipin.com/job_detail/1c117d9c5998dbe61nV_39i1FVFU.html,https://www.zhipin.com/gongsi/c6a1a443f79d15051nx83N26.html
数据分析师,vivo,北京·朝阳区·酒仙桥,40-70K,5-10年本科,林先生数据分析组高级经理,移动互联网不需要融资10000人以上,"
                                                    数据分析
                                                    数据挖掘
                                                    商业分析
                                        ",数据分析,年终奖，员工旅游，餐补，住房补贴，节日福利，零食下午茶，通讯补贴，五险一金，股票期权，定期体检，免费班车，交通补助，带薪年假,https://www.zhipin.com/job_detail/d721abc541486d741nR43tu7F1pZ.html,https://www.zhipin.com/gongsi/71f70f7aa52429bd33R43d28.html
数据分析师,中科创达软件,南京·雨花台区·安德门,11-22K,3-5年本科,王女士人事经理,计算机软件已上市1000-9999人,"
                                                    数据分析
                                        ",数据分析,定期体检，节日福利，加班补助，股票期权，餐补，全勤奖，交通补助，员工旅游，带薪年假，五险一金，年终奖，住房补贴,https://www.zhipin.com/job_detail/62c38a4bc63e9cd01nd63d-8E1dS.html,https://www.zhipin.com/gongsi/05d8611f931b61a41Xd639m_.html
数据分析师,美亚柏科,广州·海珠区·滨江路沿线,10-15K·14薪,1-3年本科,黄女士HRBP,信息安全已上市1000-9999人,"
                                                    数据分析
                                                    数据治理
                                        ",数据分析,通讯补贴，零食下午茶，餐补，定期体检，五险一金，年终奖，免费班车，员工旅游，节日福利，补充医疗保险，带薪年假，交通补助，加班补助，股票期权,https://www.zhipin.com/job_detail/48a7f4e97386a5151nV_3N67EltZ.html,https://www.zhipin.com/gongsi/50dc25e60016b1491ndy2tW-Fg~~.html
数据分析师,CNE,上海·青浦区·虹桥枢纽周边区,15-20K,3-5年本科,庄女士招聘专员,物流/仓储不需要融资500-999人,"
                                                    数据分析
                                                    数据挖掘
                                        ",数据分析,社保，免费班车，全勤奖，节日福利，通讯补贴，带薪年假，餐补，住房补贴,https://www.zhipin.com/job_detail/86e170957ea3c75d1nRy09q9EFpQ.html,https://www.zhipin.com/gongsi/dd8ac553bd308e0c03N52dS4.html
数据分析师,京科联通,合肥·包河区·工业园,5-6K,1-3年大专,周女士人事行政主管,互联网金融不需要融资1000-9999人,"
                                                    Excel
                                        ",Excel,补充医疗保险，员工旅游，全勤奖，定期体检，年终奖，五险一金，节日福利，零食下午茶，工龄工资，带薪年假，餐补，加班补助,https://www.zhipin.com/job_detail/c7175937bce80de71nd63Nm-GFdS.html,https://www.zhipin.com/gongsi/f39d389d5a3201b31HN53NW8.html
数据分析师,滴滴出行,北京·海淀区·上地,11-15K·13薪,1年以内本科,曹女士数据战略,移动互联网D轮及以上1000-9999人,"
                                                    商业分析
                                                    数据分析
                                                    Python
                                                    SQL
                                                    Excel
                                        ",商业分析,补充医疗保险，定期体检，免费班车，年终奖，五险一金，交通补助，带薪年假，零食下午茶，股票期权，节日福利,https://www.zhipin.com/job_detail/f79b67fc374700b61nV42ty5E1VW.html,https://www.zhipin.com/gongsi/980f48937a13792b1nd63d0~.html
