客户编码,R,F,M,labels
S14732,36,11,1062765.0,1
S14741,8,41,5903508.0,0
S14742,13,26,3897699.0,1
S14743,4,32,4000251.0,1
S14744,21,34,5179365.0,0
S14760,40,18,3282240.0,1
S14775,19,50,7541380.0,0
S14776,10,17,2596176.0,1
S14783,44,52,7137612.0,0
S14812,2,40,5225699.0,0
S14821,38,11,1544230.0,1
S14823,32,38,5739443.0,0
S14831,6,26,4145433.0,1
S14838,41,53,7378541.0,0
S14854,21,34,4451004.0,1
S14880,16,26,3312984.0,1
S14892,41,29,4477843.0,1
S14898,30,21,2871651.0,1
S14899,39,11,1052993.0,1
S14911,26,49,7403359.0,0
S14915,69,11,1998696.0,2
S14926,7,34,5395473.0,0
S14947,12,16,3108133.0,1
S14953,2,45,6037810.0,0
S14974,3,12,1121266.0,1
S15000,21,17,1480683.0,1
S15010,103,15,2428342.0,2
S15014,31,68,9348577.0,0
S15026,51,13,1818881.0,1
S15036,13,37,6194971.0,0
S15037,73,32,4220478.0,2
S15043,2,27,3304250.0,1
S15050,92,20,3023428.0,2
S15064,40,7,691514.0,1
S15066,4,28,3914824.0,1
S15071,20,29,4074177.0,1
S15085,53,19,2609281.0,1
S15089,46,16,1843334.0,1
S15092,43,36,5051394.0,0
S15103,60,43,5740153.0,0
S15104,13,13,2214433.0,1
S15105,72,33,5367307.0,0
S15116,0,31,3973905.0,1
S15125,42,46,6526612.0,0
S15128,13,54,6972689.0,0
S15155,3,74,10024347.0,0
S15175,23,48,6853677.0,0
S15187,18,31,4546758.0,1
S15200,27,21,4017932.0,1
S15251,11,20,3350628.0,1
S15265,7,22,2605914.0,1
S15275,11,55,8348064.0,0
S15280,10,25,4079819.0,1
S15283,48,29,3121199.0,1
S15291,98,8,1262193.0,2
S15310,37,42,6344151.0,0
S15315,114,8,1149690.0,2
S15317,20,31,4091240.0,1
S15320,10,55,8755617.0,0
S15332,34,52,8390094.0,0
S15344,7,10,1021687.0,1
S15352,43,40,7012598.0,0
